stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
317549,317549,"Deebing Creek Rd near Sandalwood Dr",, -27.661899, 152.752845,3,https://translink.com.au/stop/317549/gtfs/,0,,
317571,317571,"Regatta ferry terminal",, -27.483199, 152.996899,1,https://translink.com.au/stop/317571/gtfs/,0,place_regaft,
317572,317572,"Guyatt Park ferry terminal",, -27.492284, 153.002217,1,https://translink.com.au/stop/317572/gtfs/,0,place_guyaft,
317574,317574,"West End ferry terminal",, -27.490234, 153.003328,1,https://translink.com.au/stop/317574/gtfs/,0,place_westft,
317578,317578,"Maritime Museum ferry terminal",, -27.481937, 153.028832,1,https://translink.com.au/stop/317578/gtfs/,0,place_marift,
317580,317580,"Holman Street ferry terminal",, -27.465702, 153.033689,1,https://translink.com.au/stop/317580/gtfs/,0,place_holmft,
317582,317582,"Mowbray Park ferry terminal",, -27.477394, 153.043046,1,https://translink.com.au/stop/317582/gtfs/,0,place_mowbft,
317583,317583,"Hawthorne ferry terminal",, -27.461179, 153.053132,1,https://translink.com.au/stop/317583/gtfs/,0,place_hawtft,
317584,317584,"Bulimba ferry terminal",, -27.450432, 153.052222,1,https://translink.com.au/stop/317584/gtfs/,0,place_bulift,
317587,317587,"Teneriffe ferry terminal",, -27.451840, 153.049415,1,https://translink.com.au/stop/317587/gtfs/,0,place_teneft,
317588,317588,"New Farm Park ferry terminal",, -27.471669, 153.052479,1,https://translink.com.au/stop/317588/gtfs/,0,place_newfft,
317589,317589,"Sydney Street ferry terminal",, -27.474721, 153.042218,1,https://translink.com.au/stop/317589/gtfs/,0,place_sydnft,
317590,317590,"Riverside ferry terminal",, -27.466871, 153.031315,1,https://translink.com.au/stop/317590/gtfs/,0,place_riveft,
317593,317593,"North Quay ferry terminal",, -27.472707, 153.022477,1,https://translink.com.au/stop/317593/gtfs/,0,place_norqft,
317595,317595,"Logan River Rd near Harburg Dr",, -27.713476, 153.182680,3,https://translink.com.au/stop/317595/gtfs/,0,,
317596,317596,"Logan River Rd near Alexandra St",, -27.713205, 153.182988,3,https://translink.com.au/stop/317596/gtfs/,0,,
317597,317597,"River Hills Rd near Eagle Dr",, -27.700524, 153.199344,3,https://translink.com.au/stop/317597/gtfs/,0,,
317598,317598,"Vienna Rd at Alexandra Circuit",, -27.541173, 153.224866,2,https://translink.com.au/stop/317598/gtfs/,0,,
317599,317599,"Klingner Rd at Redcliffe High School",, -27.223211, 153.114122,3,https://translink.com.au/stop/317599/gtfs/,0,,
3176,003176,"Tomah Rd near Binburra St, stop 34",, -27.324508, 153.041052,2,https://translink.com.au/stop/003176/gtfs/,0,,
317602,317602,"Elizabeth Ave near Angus St",, -27.259959, 153.080449,3,https://translink.com.au/stop/317602/gtfs/,0,,
317605,317605,"Chancellor Village Bvd near Lakehead Dr",, -26.719054, 153.048149,6,https://translink.com.au/stop/317605/gtfs/,0,,
317608,317608,"Railway St at Yandina station",, -26.560307, 152.957448,7,https://translink.com.au/stop/317608/gtfs/,0,,
317609,317609,"Jubilee Dr at Palmwoods Garden Village",, -26.681227, 152.957606,6,https://translink.com.au/stop/317609/gtfs/,0,,
317615,317615,"Bribie Island park 'n' ride",, -27.065605, 153.159498,4,https://translink.com.au/stop/317615/gtfs/,0,,
317616,317616,"Discovery Dr near College St",, -27.231513, 153.021990,3,https://translink.com.au/stop/317616/gtfs/,0,,
317617,317617,"Redbank Plains Town Square, stop C",, -27.646200, 152.869800,3,https://translink.com.au/stop/317617/gtfs/,0,,
317629,317629,"School Rd at Balandra Street",, -27.535653, 153.198822,2,https://translink.com.au/stop/317629/gtfs/,0,,
317630,317630,"Eucumbene Dr near Burrumbeet St",, -27.249640, 152.971302,3,https://translink.com.au/stop/317630/gtfs/,0,,
317633,317633,"Dayboro Rd near Baldwin St",, -27.268512, 152.975299,3,https://translink.com.au/stop/317633/gtfs/,0,,
317645,317645,"Endeavour Bvd near Bergin St",, -27.237210, 153.013578,3,https://translink.com.au/stop/317645/gtfs/,0,,
317646,317646,"Endeavour Bvd near Bergin St",, -27.237384, 153.013343,3,https://translink.com.au/stop/317646/gtfs/,0,,
